widht=15
height=15
Background=182
178,230,230,230,230,230,230,230,230,230,230,230,230,230,180,
229,91,14,14,14,14,14,48,14,14,14,14,2,14,229,
229,14,178,230,230,230,233,14,232,230,230,230,180,14,229,
229,14,229,14,2,14,14,14,14,14,14,44,229,14,229,
229,14,229,14,178,230,233,14,232,230,180,14,229,14,229,
229,14,229,14,229,14,14,14,14,2,229,14,229,14,229,
229,2,215,48,215,14,231,14,231,14,215,48,215,14,229,
229,14,14,14,14,14,14,48,14,14,14,14,14,14,229,
229,14,216,14,216,14,231,14,231,14,216,14,216,14,229,
229,14,229,14,229,14,2,14,14,14,229,14,229,2,229,
229,2,229,14,212,230,233,14,232,230,214,2,229,14,229,
229,14,229,27,14,14,14,14,14,14,14,14,229,14,229,
229,14,212,230,230,230,233,14,232,230,230,230,214,14,229,
229,14,14,14,14,2,14,14,14,14,48,14,14,14,229,
212,230,230,230,230,230,230,230,230,230,230,230,230,230,214
