widht=15
height=15
Background=182
178,230,230,230,230,230,230,230,230,230,230,230,230,230,180,
229,48,14,14,14,14,14,14,14,14,14,14,44,48,229,
229,14,232,230,230,230,233,14,232,230,230,230,233,14,229,
229,91,14,14,14,14,14,14,14,14,14,14,14,14,229,
229,14,232,230,230,230,233,2,232,230,230,230,233,14,229,
229,14,14,14,14,14,14,14,14,14,14,14,14,14,229,
229,14,232,230,230,230,233,2,232,230,230,230,233,14,229,
229,14,14,14,14,14,14,14,14,14,14,14,14,14,229,
229,14,232,230,230,230,233,2,232,230,230,230,233,14,229,
229,14,14,14,14,14,14,14,14,14,14,14,14,14,229,
229,14,232,230,230,230,233,14,232,230,230,230,233,14,229,
229,14,14,14,14,14,14,14,14,14,14,14,14,14,229,
229,14,232,230,230,230,233,14,232,230,230,230,233,14,229,
229,48,14,14,14,14,14,27,14,14,14,14,14,48,229,
212,230,230,230,230,230,230,230,230,230,230,230,230,230,214
