widht=15
height=15
Background=182
178,230,230,230,179,230,179,230,230,230,230,230,179,230,180,
229,1,14,48,229,14,229,14,14,14,44,14,229,48,229,
229,14,216,14,229,14,229,14,216,14,216,14,229,14,229,
229,14,229,14,215,14,215,14,212,230,214,14,229,14,229,
229,91,229,14,14,14,14,14,48,14,14,14,229,14,229,
229,14,195,230,179,230,230,230,230,233,14,232,214,14,229,
229,14,229,48,215,14,14,14,14,14,14,14,14,14,229,
229,14,229,14,14,14,216,178,230,230,230,230,233,14,229,
229,14,212,233,14,232,196,197,1,14,14,14,14,14,229,
229,27,14,14,14,14,215,212,230,230,230,230,180,14,229,
229,14,216,14,216,14,14,14,14,14,14,1,229,14,229,
229,14,215,14,229,14,178,230,179,230,179,230,197,14,229,
229,14,1,14,215,14,215,14,215,14,215,14,215,14,229,
229,14,216,14,14,14,14,14,14,14,14,14,14,48,229,
212,230,213,230,230,230,230,230,230,230,230,230,230,230,214
